"celltype"	"sub_celltype"	"cell_cluster"
"Plasma cells"	"Plasma cells"	"c01_Plasma-MZB1-XBP1"
"Plasma cells"	"Plasma cells"	"c02_Plasma-CD3"
"Plasma cells"	"Plasma cells"	"c03_Plasma-IFNG"
"Plasma cells"	"Plasma cells"	"c04_Plasma-MKI67"
"B cells"	"B cells"	"c05_Naïve B-TCLA1"
"B cells"	"B cells"	"c06_Naïve B-IGHV4"
"B cells"	"B cells"	"c07_Naïve B-IGKV"
"B cells"	"B cells"	"c08_Naïve B-MT"
"B cells"	"B cells"	"c09_Memory B-IgMG"
"B cells"	"B cells"	"c10_Memory B-IgAG"
"B cells"	"B cells"	"c11_B-IFNG"
"B cells"	"B cells"	"c12_B-MYADM"
"B cells"	"B cells"	"c13_B-CD3"
"B cells"	"B cells"	"c14_B-PPBP"
"T cells"	"CD4+ T cells"	"c15_CD4_Tn-CCR7"
"T cells"	"CD4+ T cells"	"c16_CD4_Treg-FOXP3"
"T cells"	"CD4+ T cells"	"c17_CD4_Tfh like-CXCR5-GPR183"
"T cells"	"CD4+ T cells"	"c18_CD4_Th1 like-TBX21-GZMB"
"T cells"	"CD4+ T cells"	"c19_CD4_Th1 like-CXCR3-GZMK"
"T cells"	"CD4+ T cells"	"c20_CD4_Th2 like-CCR4-GATA3"
"T cells"	"CD4+ T cells"	"c21_CD4_Th17 like-CCR6"
"T cells"	"CD8+ T cells"	"c22_CD8_Tn-CCR7"
"T cells"	"CD8+ T cells"	"c23_CD8_Tcm-GPR183"
"T cells"	"CD8+ T cells"	"c24_CD8_Tem-GZMK"
"T cells"	"CD8+ T cells"	"c25_CD8-GNLY-GZMK"
"T cells"	"CD8+ T cells"	"c26_CD8-ZNF683-FOS"
"T cells"	"CD8+ T cells"	"c27_CD8-GNLY-GZMB-CX3CR1"
"T cells"	"CD8+ T cells"	"c28_CD8-GNLY-GZMB-ZNF683"
"T cells"	"CD8+ T cells"	"c29_CD8-GNLY-GZMH"
"T cells"	"CD8+ T cells"	"c30_CD8-KLRB1-TIGIT"
"T cells"	"CD8+ T cells"	"c31_CD8-MKI67"
"T cells"	"Other T cells"	"c32_CD4_CD8-MKI67"
"T cells"	"Other T cells"	"c33_CD4_CD8_T"
"T cells"	"Other T cells"	"c34_gdT"
"T cells"	"Other T cells"	"c35_MAIT"
"T cells"	"Other T cells"	"c36_T-MT-PTPRC"
"NK cells"	"NK cells"	"c37_NK-CD3-GZMK-TCF7"
"NK cells"	"NK cells"	"c38_NK-CD3-GZMB-ZBTB16"
"NK cells"	"NK cells"	"c39_NK-CD3-GZMB-CX3CR1"
"NK cells"	"NK cells"	"c40_NK-CD3-GZMB-ZNF683"
"NK cells"	"NK cells"	"c41_NK-CD3-GZMB-LAG3"
"NK cells"	"NK cells"	"c42_NK-CD3-MKI67"
"NK cells"	"NK cells"	"c43_NK-FCGR3A"
"NK cells"	"NK cells"	"c44_NK-NFKB"
"NK cells"	"NK cells"	"c45_NK-GZMK"
"NK cells"	"NK cells"	"c46_NK-MKI67"
"Myeloid cells"	"Monocytes"	"c47_Mono-CD14-S100A"
"Myeloid cells"	"Monocytes"	"c48_Mono-CD14-VCAN"
"Myeloid cells"	"Monocytes"	"c49_Mono-CD14-ISG15"
"Myeloid cells"	"Monocytes"	"c50_Mono-CD14-HLA"
"Myeloid cells"	"Monocytes"	"c51_Mono-CD14-CCL3"
"Myeloid cells"	"Monocytes"	"c52_Mono-CD14-CD16"
"Myeloid cells"	"Monocytes"	"c53_Mono-CD16-CXCR4"
"Myeloid cells"	"Monocytes"	"c54_Mono-CD16-CX3CR1"
"Myeloid cells"	"Monocytes"	"c55_Mono-CD16-CIQ"
"Myeloid cells"	"Monocytes"	"c56_Mono-CD16-ISG15"
"Myeloid cells"	"Monocytes"	"c57_Mono-CD16-RP"
"Myeloid cells"	"Monocytes"	"c58_Mono-CD16-MT"
"Myeloid cells"	"Dendritic cells"	"c59_cDC1"
"Myeloid cells"	"Dendritic cells"	"c60_cDC2"
"Myeloid cells"	"Dendritic cells"	"c61_cDC2/pDC"
"Myeloid cells"	"Dendritic cells"	"c62_pDC-GZMB"
"Myeloid cells"	"Other myeloid cells"	"c63_Mast"
"Myeloid cells"	"Other myeloid cells"	"c64_Mega"
"Myeloid cells"	"Other myeloid cells"	"c65_Myeloid-MS4A1"
"Myeloid cells"	"Other myeloid cells"	"c66_Myeloid-CD3"
"Myeloid cells"	"Other myeloid cells"	"c67_Myeloid-NKG7"
"Platelet"	"Platelet"	"c68_Platelet"
"Platelet"	"Platelet"	"c69_Platelet/T cells"
"Platelet"	"Platelet"	"c70_Platelet/NK cells"
