"Gene_name"	"c25_CD8-GNLY-GZMK"	"c15_CD4_Tn-CCR7"	"c22_CD8_Tn-CCR7"	"c05_Naïve B-TCLA1"	"c68_Platelet"	"c69_Platelet/T cells"	"c18_CD4_Th1 like-TBX21-GZMB"	"c09_Memory B-IgMG"	"c43_NK-FCGR3A"	"c27_CD8-GNLY-GZMB-CX3CR1"	"c19_CD4_Th1 like-CXCR3-GZMK"	"c34_gdT"	"c17_CD4_Tfh like-CXCR5-GPR183"	"c10_Memory B-IgAG"	"c35_MAIT"	"c20_CD4_Th2 like-CCR4-GATA3"	"c29_CD8-GNLY-GZMH"	"c39_NK-CD3-GZMB-CX3CR1"	"c28_CD8-GNLY-GZMB-ZNF683"	"c55_Mono-CD16-CIQ"	"c36_T-MT-PTPRC"	"c41_NK-CD3-GZMB-LAG3"	"c31_CD8-MKI67"	"c24_CD8_Tem-GZMK"	"c23_CD8_Tcm-GPR183"	"c66_Myeloid-CD3"	"c21_CD4_Th17 like-CCR6"	"c33_CD4_CD8_T"	"c16_CD4_Treg-FOXP3"	"c52_Mono-CD14-CD16"	"c46_NK-MKI67"	"c37_NK-CD3-GZMK-TCF7"	"c11_B-IFNG"	"c47_Mono-CD14-S100A"	"c56_Mono-CD16-ISG15"	"c13_B-CD3"	"c44_NK-NFKB"	"c38_NK-CD3-GZMB-ZBTB16"	"c54_Mono-CD16-CX3CR1"	"c06_Naïve B-IGHV4"	"c08_Naïve B-MT"	"c57_Mono-CD16-RP"	"c64_Mega"	"c07_Naïve B-IGKV"	"c45_NK-GZMK"	"c53_Mono-CD16-CXCR4"	"c30_CD8-KLRB1-TIGIT"	"c67_Myeloid-NKG7"	"c40_NK-CD3-GZMB-ZNF683"	"c14_B-PPBP"	"c26_CD8-ZNF683-FOS"	"c48_Mono-CD14-VCAN"	"c01_Plasma-MZB1-XBP1"	"c50_Mono-CD14-HLA"	"c32_CD4_CD8-MKI67"	"c65_Myeloid-MS4A1"	"c70_Platelet/NK cells"	"c49_Mono-CD14-ISG15"	"c62_pDC-GZMB"	"c51_Mono-CD14-CCL3"	"c42_NK-CD3-MKI67"	"c02_Plasma-CD3"	"c63_Mast"	"c04_Plasma-MKI67"	"c60_cDC2"	"c03_Plasma-IFNG"	"c12_B-MYADM"	"c58_Mono-CD16-MT"	"c59_cDC1"	"c61_cDC2/pDC"
"RP11-34P13.7"	0	3	4	4	0	0	2	2	6	1	1	3	0	1	1	3	3	0	2	0	0	3	0	2	0	0	0	1	0	0	0	2	0	3	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FO538757.3"	0	1	5	2	295	73	1	1	4	1	0	5	0	0	3	1	1	2	2	0	0	1	0	4	3	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	3	0	0	0	1	0	0	23	0	0	0	0	0	0	1	0	0	0	1	1	0
"FO538757.2"	41	2423	1865	872	119	147	1527	743	3479	1272	631	1171	893	711	456	1133	942	517	2077	171	80	1584	62	1060	670	103	623	319	358	211	73	396	11	505	139	123	256	391	374	35	6	90	15	36	151	269	594	13	261	14	107	23	45	134	105	17	67	62	22	43	56	13	85	39	105	3	68	6	31	9
"AP006222.2"	0	11	8	3	1	0	5	3	13	4	1	4	1	0	3	5	6	3	7	1	0	3	0	6	3	1	3	1	3	2	1	3	0	2	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
"RP4-669L17.10"	0	15	12	3	0	0	5	3	16	3	3	3	5	2	3	7	5	0	3	1	0	4	0	7	0	0	2	2	0	1	0	1	1	3	1	0	1	2	2	0	1	1	2	1	0	0	5	0	2	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"RP5-857K21.4"	0	0	0	1	0	0	0	0	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"RP11-206L10.9"	0	35	42	26	0	2	31	37	77	21	10	27	15	23	19	17	24	10	27	2	5	33	2	35	14	2	18	7	15	5	1	12	0	6	1	10	15	6	3	1	2	1	0	1	7	6	19	0	5	0	1	5	5	3	1	0	1	0	1	1	3	2	2	2	4	0	2	0	0	0
"FAM87B"	1	8	6	0	0	0	2	0	4	2	2	3	2	2	2	5	1	0	5	0	1	0	0	4	2	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"LINC00115"	5	140	125	83	0	5	97	38	195	74	44	58	54	36	38	54	84	24	148	8	20	80	2	86	51	4	40	23	31	11	2	30	0	15	6	8	37	34	12	2	1	5	0	0	13	16	54	0	22	4	4	3	5	5	4	0	2	1	3	0	2	2	2	2	3	0	16	1	0	0
"NOC2L"	24	1710	1652	637	2	107	739	507	2186	782	421	810	582	428	414	647	542	354	1252	93	60	882	34	763	492	48	420	237	237	98	57	339	5	166	79	93	146	257	193	24	11	45	7	17	95	184	382	4	109	11	81	13	81	61	111	6	33	15	26	13	40	22	29	83	56	6	45	8	13	5
"KLHL17"	1	212	155	39	0	11	154	56	329	134	86	128	69	54	65	110	135	51	238	5	9	180	4	141	70	5	52	38	38	17	8	45	0	18	6	6	16	43	9	1	0	7	0	1	14	20	87	2	21	2	11	3	12	6	14	0	7	2	1	3	6	1	1	1	2	1	4	1	0	0
"PLEKHN1"	0	16	6	2	0	3	16	1	16	20	21	9	13	5	19	41	13	1	24	0	1	20	0	12	23	1	14	4	14	0	1	5	0	3	0	0	2	2	1	0	0	0	0	0	4	0	5	0	0	1	4	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
